Quarter,president,term,presTerm,pres_party,GB_CPI_QTR0,GB_CPI_QTR1,GB_CPI_QTR2,GB_CPI_QTR3,GB_CPI_QTR4,GB_CPI_QTR5,deflator,cpi_change,pres_election,time_to_election,high_inflation,senate_dems,senate_rep,house_dems,house_rep,senate_dem_rep,house_dem_rep,manufoutput,recession,sales
1965.4,"Johnson",2,"Johnson2",1,2.2,,,,,,1.93702,1.78566,0,12,1,68,32,295,140,2.125,2.107143,,0,
1966.1,"Johnson",2,"Johnson2",1,2.2,2.5,,,,,2.13078,2.4193,0,11,1,68,32,295,140,2.125,2.107143,,0,
1966.2,"Johnson",2,"Johnson2",1,2.9,,,,,,2.53636,2.68974,0,10,1,68,32,295,140,2.125,2.107143,,0,
1966.3,"Johnson",2,"Johnson2",1,3.6,3.5,,,,,3.214,3.27391,0,9,1,68,32,295,140,2.125,2.107143,,0,
1966.4,"Johnson",2,"Johnson2",1,2.8,,,,,,3.4174,3.5685,0,8,1,68,32,295,140,2.125,2.107143,,0,
1967.1,"Johnson",2,"Johnson2",1,2.1,2.1,,,,,3.30149,2.87078,0,7,1,64,36,248,187,1.777778,1.326203,,0,
1967.2,"Johnson",2,"Johnson2",1,2.7,2.7,,,,,2.94838,2.56672,0,6,1,64,36,248,187,1.777778,1.326203,,0,
1967.3,"Johnson",2,"Johnson2",1,2.7,3.7,,,,,2.9309,2.70718,0,5,1,64,36,248,187,1.777778,1.326203,,0,
1967.4,"Johnson",2,"Johnson2",1,3.8,,,,,,3.15055,2.99243,0,4,1,64,36,248,187,1.777778,1.326203,,0,
1968.1,"Johnson",2,"Johnson2",1,3.4,3.3,3,2.6,,,3.75263,3.7401,0,3,1,64,36,248,187,1.777778,1.326203,,0,
1968.2,"Johnson",2,"Johnson2",1,4,,,,,,4.29913,4.11855,0,2,1,64,36,248,187,1.777778,1.326203,,0,
1968.3,"Johnson",2,"Johnson2",1,4.3,3.4,,,,,4.32774,4.47761,0,1,1,64,36,248,187,1.777778,1.326203,,0,
1968.4,"Johnson",2,"Johnson2",1,3.5,3.3,3,,,,4.6123,4.62397,1,0,1,64,36,248,187,1.777778,1.326203,,0,
1969.1,"Nixon",1,"Nixon1",0,3.7,3.4,4.3,2.9,,,4.55301,4.87427,0,15,1,58,42,243,192,1.380952,1.265625,,0,
1969.2,"Nixon",1,"Nixon1",0,4,4.8,3.5,,,,4.78146,5.50198,0,14,1,58,42,243,192,1.380952,1.265625,,0,
1969.3,"Nixon",1,"Nixon1",0,5.1,3.8,3.5,3.2,,,5.28242,5.52286,0,13,1,58,42,243,192,1.380952,1.265625,,0,
1969.4,"Nixon",1,"Nixon1",0,3.9,3.6,3.3,4.1,2.9,,5.14525,5.83355,0,12,1,58,42,243,192,1.380952,1.265625,,0,
1970.1,"Nixon",1,"Nixon1",0,4.2,4,3.7,3.5,,,5.5428,6.22578,0,11,1,58,42,243,192,1.380952,1.265625,,1,
1970.2,"Nixon",1,"Nixon1",0,4.5,4.2,3.7,,,,5.64664,6.03848,0,10,1,58,42,243,192,1.380952,1.265625,,1,
1970.3,"Nixon",1,"Nixon1",0,4,3.5,4.1,3,,,4.97808,5.68597,0,9,1,58,42,243,192,1.380952,1.265625,,1,
1970.4,"Nixon",1,"Nixon1",0,4,4.7,3.6,3.4,3.2,,4.96987,5.6,0,8,1,58,42,243,192,1.380952,1.265625,,1,
1971.1,"Nixon",1,"Nixon1",0,4.5,3.9,3.8,3.6,,,5.06758,4.81102,0,7,1,54,44,255,180,1.227273,1.416667,,0,
1971.2,"Nixon",1,"Nixon1",0,4.7,4.9,3.9,,,,4.99567,4.31496,0,6,1,54,44,255,180,1.227273,1.416667,,0,
1971.3,"Nixon",1,"Nixon1",0,4.1,2.2,3.9,1.6,,,5.21704,4.27075,0,5,1,54,44,255,180,1.227273,1.416667,,0,
1971.4,"Nixon",1,"Nixon1",0,2.4,4,3.1,3.6,2.8,,4.71839,3.53535,0,4,1,54,44,255,180,1.227273,1.416667,,0,
1972.1,"Nixon",1,"Nixon1",0,5.2,3.1,2.9,2.8,,,4.8536,3.50587,0,3,1,54,44,255,180,1.227273,1.416667,,0,
1972.2,"Nixon",1,"Nixon1",0,4,3.4,3.4,,,,4.00991,3.22581,0,2,1,54,44,255,180,1.227273,1.416667,,0,
1972.3,"Nixon",1,"Nixon1",0,3.3,2.9,3.8,3.2,3.8,4.1,3.98025,3.02948,0,1,1,54,44,255,180,1.227273,1.416667,,0,
1972.4,"Nixon",2,"Nixon2",0,3,4.1,3.5,3.8,3.8,,4.50579,3.33415,1,0,1,54,44,255,180,1.227273,1.416667,,0,
1973.1,"Nixon",2,"Nixon2",0,4.9,4.1,4,4.2,,,4.13292,4.11294,0,15,1,56,42,242,192,1.333333,1.260417,,0,
1973.2,"Nixon",2,"Nixon2",0,5.1,4.4,4.7,,,,5.1253,5.60817,0,14,1,56,42,242,192,1.333333,1.260417,,0,
1973.3,"Nixon",2,"Nixon2",0,6,6.6,6.1,5,4.6,4.6,6.14308,6.8371,0,13,1,56,42,242,192,1.333333,1.260417,,0,
1973.4,"Nixon",2,"Nixon2",0,6.1,6,5.3,5,5.5,,6.76175,8.41693,0,12,1,56,42,242,192,1.333333,1.260417,,0,
1974.1,"Nixon",2,"Nixon2",0,8.1,7,5.8,6.2,,,7.56073,9.91565,0,11,1,56,42,242,192,1.333333,1.260417,,1,
