"Quarter","GB_CPI_QTR0","GB_CPI_QTR1","GB_CPI_QTR2","GB_CPI_QTR3","GB_CPI_QTR4","GB_CPI_QTR5","deflator","cpi_change","president","term","presTerm","EligibleReElect","pres_party","pres_election","time_to_election","ElectionPeriod","senate_dems","senate_rep","house_dems","house_rep","senate_dem_rep","house_dem_rep","manufoutput","recession","sales","DebtGDP","ExpenditureGDP","PotentialGDP","UNRATE","GB_Unemp0","GB_Unemp1","GB_Unemp2","GB_Unemp3","GB_Unemp4","GB_Unemp5","FedFunds","FedFunds2qChange","DiscountRate","DiscountRate1qChange","DiscountRate2qChange","DiscountRate3qChange","DiscountRate4qChange","DiscountRate5qChange","DeficitGDP"
"1",1965.4,2.1,NA,NA,NA,NA,NA,1.96586,1.78566,"Johnson",2,"Johnson2",0,1,0,12,0,68,32,295,140,2.125,2.107143,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,0.02,4.14,0.03,0.03,0.03,0.1,0.15,-0.19622
"2",1966.1,2.3,2.7,NA,NA,NA,NA,2.13078,2.4193,"Johnson",2,"Johnson2",0,1,0,11,0,68,32,295,140,2.125,2.107143,NA,0,NA,41.64491,16.55423,94.40841,3.9,3.8,3.6,NA,NA,NA,NA,4.56,0.11,4.5,0.08,0.11,0.11,0.11,0.18,-0.46947
"3",1966.2,2.3,NA,NA,NA,NA,NA,2.63912,2.68974,"Johnson",2,"Johnson2",0,1,0,10,0,68,32,295,140,2.125,2.107143,NA,0,NA,40.53045,17.16887,95.26862,3.8,3.5,NA,NA,NA,NA,NA,4.91,0.15,4.5,0,0.08,0.11,0.11,0.11,-0.46947
"4",1966.3,3.6,3.5,NA,NA,NA,NA,3.214,3.27391,"Johnson",2,"Johnson2",0,1,0,9,0,68,32,295,140,2.125,2.107143,NA,0,NA,40.94666,17.42529,95.64998,3.8,3.8,3.7,NA,NA,NA,NA,5.41,0.16,4.5,0,0,0.08,0.11,0.11,-0.46947
"5",1966.4,2.8,NA,NA,NA,NA,NA,3.4174,3.5685,"Johnson",2,"Johnson2",0,1,0,8,0,68,32,295,140,2.125,2.107143,NA,0,NA,40.81286,17.74693,95.95985,3.7,3.9,NA,NA,NA,NA,NA,5.56,0.12,4.5,0,0,0,0.08,0.11,-0.46947
"6",1967.1,2.1,2.1,NA,NA,NA,NA,3.28768,2.87078,"Johnson",2,"Johnson2",0,1,0,7,0,64,36,248,187,1.777778,1.326203,NA,0,NA,40.46796,18.68427,96.24603,3.8,3.9,4,NA,NA,NA,NA,4.82,-0.12,4.5,0,0,0,0,0.08,-1.03832
"7",1967.2,2.7,2.7,NA,NA,NA,NA,2.97423,2.56672,"Johnson",2,"Johnson2",0,1,0,6,0,64,36,248,187,1.777778,1.326203,NA,0,NA,39.26706,18.81309,97.4097,3.8,3.9,4,NA,NA,NA,NA,3.99,-0.39,4.03,-0.12,-0.12,-0.12,-0.12,-0.12,-1.03832
"8",1967.3,2.7,3.7,NA,NA,NA,NA,2.92446,2.70718,"Johnson",2,"Johnson2",0,1,0,5,0,64,36,248,187,1.777778,1.326203,NA,0,NA,40.13094,18.67384,97.67025,3.8,3.9,3.8,NA,NA,NA,NA,3.89,-0.24,4,-0.01,-0.12,-0.12,-0.12,-0.12,-1.03832
"9",1967.4,3.7,NA,NA,NA,NA,NA,3.10951,2.99243,"Johnson",2,"Johnson2",0,1,0,4,0,64,36,248,187,1.777778,1.326203,NA,0,NA,40.42019,18.8812,98.00633,3.9,4,NA,NA,NA,NA,NA,4.17,0.04,4.23,0.05,0.05,-0.06,-0.06,-0.06,-1.03832
"10",1968.1,3.4,3.3,3,2.6,NA,NA,3.75263,3.7401,"Johnson",2,"Johnson2",0,1,0,3,0,64,36,248,187,1.777778,1.326203,NA,0,NA,39.72187,18.98159,97.04478,3.7,3.7,3.6,3.8,3.8,NA,NA,4.79,0.19,4.55,0.07,0.12,0.11,0.01,0.01,-2.76555
"11",1968.2,4,NA,NA,NA,NA,NA,4.27212,4.11855,"Johnson",2,"Johnson2",0,1,0,2,0,64,36,248,187,1.777778,1.326203,NA,0,NA,38.20031,19.15717,96.51587,3.6,3.5,NA,NA,NA,NA,NA,5.98,0.3,5.4,0.16,0.22,0.26,0.25,0.17,-2.76555
"12",1968.3,4.3,3.4,NA,NA,NA,NA,4.30453,4.47761,"Johnson",2,"Johnson2",0,1,0,1,1,64,36,248,187,1.777778,1.326203,NA,0,NA,38.58838,19.09061,96.84543,3.5,3.8,4,NA,NA,NA,NA,5.94,0.19,5.41,0,0.16,0.22,0.26,0.26,-2.76555
"13",1968.4,3.5,3.3,3,NA,NA,NA,4.6123,4.62397,"Johnson",2,"Johnson2",0,1,1,0,1,64,36,248,187,1.777778,1.326203,NA,0,NA,38.24279,19.13053,97.41508,3.4,3.7,3.9,4.1,NA,NA,NA,5.92,-0.01,5.29,-0.02,-0.02,0.14,0.2,0.24,-2.76555
"14",1969.1,3.7,3.4,NA,NA,NA,NA,4.55342,4.87427,"Nixon",1,"Nixon1",1,0,0,15,0,58,42,243,192,1.380952,1.265625,NA,0,NA,37.41763,18.38901,96.8363,3.4,3.6,3.8,NA,NA,NA,NA,6.57,0.1,5.5,0.04,0.02,0.02,0.17,0.23,0.32934
"15",1969.2,4,4.8,3.5,NA,NA,NA,4.78146,5.50198,"Nixon",1,"Nixon1",1,0,0,14,0,58,42,243,192,1.380952,1.265625,NA,0,NA,36.15357,18.72759,97.56173,3.4,3.5,3.6,3.8,NA,NA,NA,8.33,0.29,5.98,0.08,0.12,0.1,0.1,0.24,0.32934
"16",1969.3,5.1,3.8,3.5,3.2,NA,NA,5.26268,5.52286,"Nixon",1,"Nixon1",1,0,0,13,0,58,42,243,192,1.380952,1.265625,NA,0,NA,36.20245,18.71926,97.90224,3.6,3.7,3.9,4.1,4.5,NA,NA,8.98,0.27,6,0,0.08,0.12,0.1,0.1,0.32934
"17",1969.4,3.9,3.6,3.3,4.1,2.9,NA,5.14329,5.83355,"Nixon",1,"Nixon1",1,0,0,12,0,58,42,243,192,1.380952,1.265625,NA,0,NA,36.65764,18.9547,99.2434,3.6,4,4.2,4.5,4.8,5,NA,8.94,0.07,6,0,0,0.08,0.12,0.1,0.32934
"18",1970.1,4.2,4,3.7,3.5,NA,NA,5.5428,6.22578,"Nixon",1,"Nixon1",1,0,0,11,0,58,42,243,192,1.380952,1.265625,NA,1,NA,36.57526,18.67073,100.2556,4.2,4.2,4.6,4.9,5.1,NA,NA,8.57,-0.05,6,0,0,0,0.08,0.12,-0.27372
"19",1970.2,6.4,3,3.7,NA,NA,NA,5.64664,6.03848,"Nixon",1,"Nixon1",1,0,0,10,0,58,42,243,192,1.380952,1.265625,NA,1,NA,35.82364,19.78511,100.968,4.8,4.6,4.7,4.8,NA,NA,NA,7.88,-0.13,6,0,0,0,0,0.08,-0.27372
"20",1970.3,4,3.5,4.1,3,NA,NA,4.953,5.68597,"Nixon",1,"Nixon1",1,0,0,9,0,58,42,243,192,1.380952,1.265625,NA,1,NA,36.04741,19.47644,100.8948,5.2,5.1,5.3,5.5,5.7,NA,NA,6.7,-0.28,6,0,0,0,0,0,-0.27372
