"","variable","value","QrtEstimate","Lower","Upper"
"1","Rep",-0.108049614451051,2,FALSE,FALSE
"2","Rep",-0.121192720645178,2,FALSE,FALSE
"3","Rep",-0.142477588325412,2,FALSE,FALSE
"6","Rep",-0.125648057315045,2,FALSE,FALSE
"7","Rep",-0.120558537401135,2,FALSE,FALSE
"8","Rep",-0.121813217560908,2,FALSE,FALSE
"9","Rep",-0.125828891967003,2,FALSE,FALSE
"10","Rep",-0.118940703132737,2,FALSE,FALSE
"11","Rep",-0.0873400886175696,2,FALSE,FALSE
"12","Rep",-0.111871015897079,2,FALSE,FALSE
"13","Rep",-0.105037479035675,2,FALSE,FALSE
"14","Rep",-0.124985033857917,2,FALSE,FALSE
"15","Rep",-0.113129759819381,2,FALSE,FALSE
"16","Rep",-0.147763688406509,2,FALSE,FALSE
"17","Rep",-0.10597894070002,2,FALSE,FALSE
"18","Rep",-0.119011102745784,2,FALSE,FALSE
"19","Rep",-0.119206689366413,2,FALSE,FALSE
"20","Rep",-0.12746216484106,2,FALSE,FALSE
"21","Rep",-0.128313259422879,2,FALSE,FALSE
"22","Rep",-0.136766905388512,2,FALSE,FALSE
"23","Rep",-0.127851074566319,2,FALSE,FALSE
"25","Rep",-0.142256283127164,2,FALSE,FALSE
"26","Rep",-0.088999769513212,2,FALSE,FALSE
"27","Rep",-0.102182763143155,2,FALSE,FALSE
"28","Rep",-0.128207717141906,2,FALSE,FALSE
"29","Rep",-0.119631556202528,2,FALSE,FALSE
"30","Rep",-0.118372567807901,2,FALSE,FALSE
"31","Rep",-0.114580142777345,2,FALSE,FALSE
"32","Rep",-0.149862242099894,2,FALSE,FALSE
"33","Rep",-0.11465690173306,2,FALSE,FALSE
"34","Rep",-0.115999304980703,2,FALSE,FALSE
"35","Rep",-0.112637507291426,2,FALSE,FALSE
"36","Rep",-0.132308997705683,2,FALSE,FALSE
"37","Rep",-0.112187830618137,2,FALSE,FALSE
"38","Rep",-0.105810560236851,2,FALSE,FALSE
"39","Rep",-0.11757683571136,2,FALSE,FALSE
"40","Rep",-0.0923910186440574,2,FALSE,FALSE
"41","Rep",-0.102005359436542,2,FALSE,FALSE
"42","Rep",-0.133043943633993,2,FALSE,FALSE
"43","Rep",-0.148703382864548,2,FALSE,FALSE
"44","Rep",-0.150647223775598,2,FALSE,FALSE
"45","Rep",-0.15312531973824,2,FALSE,FALSE
"46","Rep",-0.109597317430513,2,FALSE,FALSE
"47","Rep",-0.136774037080002,2,FALSE,FALSE
"48","Rep",-0.142096862039717,2,FALSE,FALSE
"50","Rep",-0.133572317698164,2,FALSE,FALSE
"51","Rep",-0.137608714602188,2,FALSE,FALSE
"52","Rep",-0.110711122487946,2,FALSE,FALSE
"53","Rep",-0.103196615417845,2,FALSE,FALSE
"54","Rep",-0.141803932030897,2,FALSE,FALSE
"55","Rep",-0.138081504606433,2,FALSE,FALSE
"56","Rep",-0.133077390824772,2,FALSE,FALSE
"57","Rep",-0.109927827498293,2,FALSE,FALSE
"58","Rep",-0.117243781864231,2,FALSE,FALSE
"59","Rep",-0.0883674339213101,2,FALSE,FALSE
"60","Rep",-0.104118251458862,2,FALSE,FALSE
"61","Rep",-0.119119504847186,2,FALSE,FALSE
"62","Rep",-0.105104639055749,2,FALSE,FALSE
"63","Rep",-0.112061400175124,2,FALSE,FALSE
"64","Rep",-0.149517000233195,2,FALSE,FALSE
"65","Rep",-0.115751599014343,2,FALSE,FALSE
"66","Rep",-0.129668226669508,2,FALSE,FALSE
"68","Rep",-0.113295648540767,2,FALSE,FALSE
"69","Rep",-0.155996202019458,2,FALSE,FALSE
"70","Rep",-0.120803394563878,2,FALSE,FALSE
"71","Rep",-0.135672013422921,2,FALSE,FALSE
"73","Rep",-0.103672969009016,2,FALSE,FALSE
