"","variable","value","QrtEstimate","Lower","Upper"
"1","Rep",-0.343755544039658,2,FALSE,FALSE
"2","Rep",-0.336663276286267,2,FALSE,FALSE
"3","Rep",-0.132447246174365,2,FALSE,FALSE
"4","Rep",-0.243827375840734,2,FALSE,FALSE
"5","Rep",-0.290865718126976,2,FALSE,FALSE
"6","Rep",-0.275055498708239,2,FALSE,FALSE
"7","Rep",-0.247816536240267,2,FALSE,FALSE
"8","Rep",-0.208802589703235,2,FALSE,FALSE
"9","Rep",-0.241328003563594,2,FALSE,FALSE
"10","Rep",-0.380386588917655,2,FALSE,FALSE
"11","Rep",-0.167878827924439,2,FALSE,FALSE
"12","Rep",-0.306526764649278,2,FALSE,FALSE
"13","Rep",-0.255126142716613,2,FALSE,FALSE
"15","Rep",-0.227648994486541,2,FALSE,FALSE
"16","Rep",-0.238018496522346,2,FALSE,FALSE
"17","Rep",-0.194742127796982,2,FALSE,FALSE
"18","Rep",-0.294341628486953,2,FALSE,FALSE
"19","Rep",-0.293802737140678,2,FALSE,FALSE
"20","Rep",-0.315348727033395,2,FALSE,FALSE
"21","Rep",-0.270092643811466,2,FALSE,FALSE
"22","Rep",-0.291862610091607,2,FALSE,FALSE
"23","Rep",-0.203780635343131,2,FALSE,FALSE
"24","Rep",-0.208257089605062,2,FALSE,FALSE
"25","Rep",-0.273263846348531,2,FALSE,FALSE
"27","Rep",-0.19552311127485,2,FALSE,FALSE
"28","Rep",-0.319469366859987,2,FALSE,FALSE
"29","Rep",-0.278256317069622,2,FALSE,FALSE
"30","Rep",-0.285157512861873,2,FALSE,FALSE
"31","Rep",-0.286642486507586,2,FALSE,FALSE
"32","Rep",-0.36209935680932,2,FALSE,FALSE
"33","Rep",-0.34075672429072,2,FALSE,FALSE
"34","Rep",-0.166136344457374,2,FALSE,FALSE
"35","Rep",-0.377739786603206,2,FALSE,FALSE
"36","Rep",-0.20361942012078,2,FALSE,FALSE
"37","Rep",-0.335881804677763,2,FALSE,FALSE
"38","Rep",-0.345977026305537,2,FALSE,FALSE
"41","Rep",-0.277385985999237,2,FALSE,FALSE
"42","Rep",-0.326363054027395,2,FALSE,FALSE
"43","Rep",-0.17538457091486,2,FALSE,FALSE
"44","Rep",-0.317682508410415,2,FALSE,FALSE
"45","Rep",-0.27531222470474,2,FALSE,FALSE
"46","Rep",-0.181757027787953,2,FALSE,FALSE
"47","Rep",-0.268621196742083,2,FALSE,FALSE
"48","Rep",-0.260112098722191,2,FALSE,FALSE
"49","Rep",-0.289686673976402,2,FALSE,FALSE
"50","Rep",-0.306938412794618,2,FALSE,FALSE
"51","Rep",-0.202017135005825,2,FALSE,FALSE
"52","Rep",-0.289273876583897,2,FALSE,FALSE
"53","Rep",-0.27220056968808,2,FALSE,FALSE
"54","Rep",-0.425548723999649,2,FALSE,FALSE
"55","Rep",-0.264291452733624,2,FALSE,FALSE
"56","Rep",-0.173922480276633,2,FALSE,FALSE
"57","Rep",-0.201890877994246,2,FALSE,FALSE
"58","Rep",-0.272415217239275,2,FALSE,FALSE
"59","Rep",-0.151489344639142,2,FALSE,FALSE
"60","Rep",-0.284451088569591,2,FALSE,FALSE
"62","Rep",-0.163590012906205,2,FALSE,FALSE
"64","Rep",-0.146660611049044,2,FALSE,FALSE
"65","Rep",-0.351494349995548,2,FALSE,FALSE
"66","Rep",-0.281343985593401,2,FALSE,FALSE
"67","Rep",-0.207469849154648,2,FALSE,FALSE
"68","Rep",-0.243698824705221,2,FALSE,FALSE
"69","Rep",-0.277187754613502,2,FALSE,FALSE
"70","Rep",-0.308191018208606,2,FALSE,FALSE
